"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"1154394","2014-09-23 02:56:51","7404847","3.2800","149","79","A","5","<p>An 18-year-old medical student decides he is going to get buff, so starts consuming protein shakes. Whilst drinking a shake after a massive session of squats in the gym, he contemplates the process of digestion. He recalls that one of the enzymes involved in protein digestion (a proteolytic enzyme) in the stomach is pepsin and it's inactive precursor (zymogen) is pepsinogen. But he can't remember which cells in the stomach secrete pepsinogen. He asks a fellow medical student who knows everything as she uses PeerWise everyday.</p><p>&nbsp;</p><p>Which cells does she tell him are responsible? &nbsp; &nbsp;</p>","<p>chief cells</p>","<p>d cells</p>","<p>g&nbsp;cells</p>","<p>Leydig cells</p>","<p style=""padding: 0px; margin: 0px;"">parietal cells</p>","<p>Chief cells (found in the body of the stomach) are responsible for secretion of pepsinogen, which is converted into the active proteolytic enzyme pepsin.</p><p>&nbsp;</p><p>Consumption of protein stimulates the production of gastrin, secreted by G cells. Gastrin then stimulates the secretion of both intrinsic factor and hydrochloric acid from parietal cells. The hydrochloric acid catalyses the conversion of pesinogen to pepsin. The acidic environment created and pepsin are both important for the hydrolysis of proteins. Intrinsic factor is responsible for assisting absorption of vitamin B12 found in proteinaceous foods such as meat, fish and eggs. D cells (found in the antrum of the stomach) are stimulated by Gastrin and secrete somatostatin, a hormone which inhibits Gastrin excretion from G cells and hydrochloric acid from parietal cells (a negative feedback mechanism presenting the stomach becoming too acidic).</p><p>&nbsp;</p><p>Leydig cells are testosterone producing cells found in the testicles. They are important for getting buff but have little direct influence on digestion.</p><p>&nbsp;</p><p>Random mnemonic: I remember that chief cells secrete pepsinogen and are found in the body of the stomach by picturing the image of a native American chief drinking pepsi, which goes into his body. &nbsp;</p><p>&nbsp;</p><p>Pepsi is the ancient Greek word for digestion.</p><p>&nbsp;</p><p>Apparently the drink ""Pepsi"" is so named as it was initially marketed as a digestive aid (although the sources for this are dubious), other dubious sources claim that Pepsi is called Pepsi because Pepsin is involved or was involved in it's production (again, this is from dodgy internet sources, not necessarily true). The rest of the information in this question is true though! Sources include: "" Marieb, Human anatomy and Physiology, 6th edition"" and ""Faller, The human body: an introduction to structure and function, 13th edition"". &nbsp;</p>","Gastrointestinal System"
"1154395","2014-09-23 02:56:51","7404847","3.4000","162","88","D","5","<p>A 19-year-old medical student presents with pain and swelling at the base of his right thumb. He reports an amorous encounter on a MedSoc social with a fellow medical student, with whom he returned to his halls of residence. Due to the narrow beds, alcohol excess and obscure mid-coital positioning he fell onto his extended wrist, which resulted in severe pain. &nbsp;</p><p>There is exquisite tenderness on palpation of the anatomical snuff box of his right wrist. He is told by the doctor that his wrist x-ray shows a fracture of a carpal bone.</p><p>&nbsp;</p><p>Which bone is most likely to be fractured?&nbsp;</p>","<p>hamate</p>","<p>lunate</p>","<p style=""padding: 0px; margin: 0px;"">pisiform</p>","<p>scaphoid</p>","<p>triquetrum</p>","<p>The scaphoid is the most commonly fractured carpal bone. The usual mechanism of injury is a fall onto an extended wrist, typical history and examination findings include: pain and swelling at the base of the thumb and tenderness on palpation of the anatomical snuff box*.</p><p>&nbsp;</p><p>The history of presenting complaint in this question is reminiscent of a mnemonic for remembering the carpal bones:<strong> S</strong>ome<strong>&nbsp;L</strong>overs<strong> T</strong>ry<strong> P</strong>ositions<strong> T</strong>hat<strong> T</strong>hey<strong> C</strong>an't <strong>H</strong>andle&nbsp; = <strong>S</strong>caphoid <strong>L</strong>unate <strong>T</strong>riquetrum <strong>P</strong>isiform <strong>T</strong>rapezium <strong>T</strong>rapezoid <strong>C</strong>apitate <strong>H</strong>amate.&nbsp;</p><p>&nbsp;</p><p><img src=""../images/view.php?file=54791"" alt=""no description"" /></p><p>*the anatomical snuff box is the depression between the extensor pollicis longus and extensor pollicis brevis tendons at the base of the thumb. This recess is so named for it's use of holding snuff (ground tobacco) prior to nasal insufflation.&nbsp;</p><p>&nbsp;</p><p>Jason</p>","Anatomy"
"1154396","2014-09-23 02:56:51","7404847","3.6700","185","87","C","5","<p>You are presented with a patient that has suffered from a direct blow to&nbsp;the middle part of the lateral side of his left leg.&nbsp;His X-rays show a midshaft fibula fracture of the left leg. He's unable to evert&nbsp;his lef&nbsp;foot and&nbsp;also complains&nbsp;about&nbsp;loss of sensation over the dorsum of the&nbsp;foot with the exception of the area&nbsp;between the great/first toe and second toe (first web space/ interdigital cleft) and the lateral side of the fifth digit.&nbsp;</p><p>What nerve has been injured?</p>","<p>Deep fibular nerve</p>","<p>Saphenous nerve</p>","<p>Superficial fibular nerve</p>","<p>Lateral plantar nerve</p>","<p>Medial Plantar nerve</p>","<p>The answer is Superficial Fibular nerve. Here's why:</p><p>&nbsp;</p><p>&nbsp;</p><p>The 1st hint&nbsp;was the inability to evert the foot. The&nbsp;muscles responsible for foot eversion are: Fibularis longus and&nbsp;Fibularis brevis. These two muscles are supplied by the superficial fibular nerve. At this point you might be thinking <em>""Hold on! What about Fibularis tertius?!""</em> Well fibularis tertius only <strong>aids</strong> in the everting of the foot. It's primary function is ankle dorsiflexion (it's supplied by deep fibular nerve).</p><p>&nbsp;</p><p>The 2nd hint is the loss of sensation. So&nbsp;it says&nbsp;he&nbsp;lost sensation&nbsp;over the dorsum of&nbsp;his left&nbsp;foot with the exception of the lateral side of the fifth digit&nbsp;and the first interdigital cleft. The first interdigital cleft&nbsp;is supplied by the deep fibular nerve and the lateral side of the fifth digit is supplied by the sural nerve. The rest (i.e. majority of dosrum surface) is supplied by the superficial fibular nerve, so here again you should be thinking <em>""something's wrong with the superficial nerve.""</em>&nbsp;&nbsp;(this link shows you the foot dermatomes, in case you're a bit lost: <a class=""enteredLink"" href=""http://www.frca.co.uk/images/lowerlimb-fig8-small.jpg"" target=""_blank"">http://www.frca.co.uk/images/lowerlimb-fig8-small.jpg</a>)</p><p>&nbsp;</p><p>Now you can look back at the fact that his fracture is located at the midshaft of his fibula; what runs&nbsp;close along&nbsp;it there? The superficial fibular nerve!</p><p>&nbsp;</p><p>Here's another link that&nbsp;talks a bit about&nbsp;superficial fibular nerve and potential&nbsp;damage: <a class=""enteredLink"" href=""http://teachmeanatomy.info/lower-limb/nerves/superficial-fibular-nerve/"" target=""_blank"">http://teachmeanatomy.info/lower-limb/nerves/superficial-fibular-nerve/</a></p><p>&nbsp;</p><p>Another way of working this out is by ruling out answers:</p><p>1) The medial plantar, is a the larger branch of the&nbsp;tibial nerve, while the later plantar is the smaller branch.&nbsp;they both supply the skin of the plantar surface of the foot. Just look at their name: medial <strong>plantar</strong>, lateral <strong>plantar</strong>. The patient however suffers from loss of sensation on the dorsal surface!</p><p>2) As for the Saphenous nerve, it supplies the skin on the medial side of the foot as far as the head of the first metatarsal. It has no contribution to foot eversion. So it can't be this nerve.</p><p>3) Deep Fibular nerve doesn't contribute to foot eversion, but dorsiflexion and extension of the toes. It also supplies the skin at the first interdigital cleft,&nbsp;an area that&nbsp;the patient hasn't lost sensation in. So again it can't be this nerve.</p><p>&nbsp;This leaves us with superficial fibular nerve as the only answer :)</p><p>&nbsp;</p><p>*Additional info:</p><p>Something you might find interesting is that the deep fibular nerve injury causes a foot drop!&nbsp;&nbsp;</p><p>&nbsp;</p>","Foot, Anatomy, Innervation, Innervations, Lower Limb"
"1154397","2014-09-23 02:56:51","7404847","3.2100","152","78","B","5","<p>Why is prothrombin a better measure of liver failure than albumin?</p>","<p>Because prothrombin has a higher molecular weight (in daltons).</p>","<p>Because prothrombin has a shorter half life.</p>","<p>Because the liver synthesises more prothrombin than albumin.</p>","<p>Because the albumin is ""busy"" trying to transport the unconjugated bilirubin into the liver.</p>","<p>Because the albumin can be redistributed into the extracellular space during infection.</p>","<p>The answer is B. The half life of albumin is 20-25 days compared to Prothrombin which is around 60 hours. This means that with an acute liver problem the albumin concentration is still normal as the half life is so long. However, with an acute liver disease the prothrombin levels with be noticeably lower sooner as the liver can't produce the clotting factor and the molecules that were already in the system start to reach their half life sooner.</p>","Physiology, Case 3"
"1154398","2014-09-23 02:56:51","7404847","3.6200","194","100","B","5","<p>Samantha is a first year medical student on placement at a local eye clinic. At the start of the day she notices David in the waiting room who is shown below. From initial inspection, Samantha suspects that David has...</p><p>&nbsp;</p><p><img src=""../images/view.php?file=66086"" alt=""no description"" /></p>","<p>Bell's Palsy</p>","<p>Right Occulomotor Nerve Palsy</p>","<p>Right Abducent Nerve Palsy</p>","<p>Right Optic Nerve Palsy</p>","<p>Right-sided Ptosis</p>","<p>From the picture we can see that David has:</p><p>&nbsp;</p><p>- a dilated pupil in his right eye.</p><p>- ptosis of his right eyelid.</p><p>- a depressed, abducted, laterally rotated right pupil.</p><p>&nbsp;</p><p>This combination of signs suggests that he has occulomotor nerve palsy (CN III palsy) for the following reasons:</p><p>&nbsp;</p><p>First, the occulomotor nerve has sympathetic fibres which innervate the levator palpebrae superiosis muscle responsible for raising the eyelid. If thiere is a lesion to this nerve, ptosis will occur due to unopposed action of the orbicularis occuli muscle innervated by the facial nerve (CN VII).&nbsp;</p><p>&nbsp;</p><p>The occulomotor nerve also supplies parasympathetic fibres to the pupillary sphincter muscle which constricts the pupil. If there is a lesion to CN III, the unopposed action of sympathetic fibres to the pupillary dilator muscle will cause the pupil to dilate.</p><p>&nbsp;</p><p>Thirdly, the occulomotor nerve innervates superior rectus, medial rectus, inferior rectus and inferior oblique. If there is a lesion to this nerve then there will be unopposed action to superior oblique (innervated by CN IV) and lateral rectus (innervated by CN VI). As a result the pupil will be abducted, depressed and laterally rotated.</p><p>&nbsp;</p><p>*Note: although answer E is also correct, since this is the single best answer, answer B is better since it explains all of the signs.</p>","Anatomy, Eye"
"1160490","2014-09-27 20:01:14","1300405","3.2600","214","117","B","5","<p><img src=""../images/view.php?file=78610"" alt=""no description"" /></p><p>&nbsp;</p><p>Which of the germ layers labelled 1-3 above give/gives rise to the epithelial linings of the respiratory and gastrointestinal tract?</p>","<p>1</p>","<p>2</p>","<p>3</p>","<p>1 and 3</p>","<p>1 and 2</p>","<p>At the end of gastrulation the three germ layers endoderm, mesoderm and ectoderm are present.&nbsp;</p><p>In the diagram above:</p><p>1=mesoderm</p><p>2=endoderm</p><p>3=ectoderm</p><p>&nbsp;</p><p>The MESODERM gives rise to the skeleton; muscle; connective tissue; circulatory system (lympatic = cardiovascular); urinary system; spleen; adrenal cortex; dermis; dentine of teeth, genital system (gonads, ducts, accessory glands).<strong> <span style=""text-decoration: underline;"">M</span></strong>esoderm=<strong><span style=""text-decoration: underline;"">M</span></strong>uscle</p><p>&nbsp;</p><p>The ENDODERM gives rise to the GI tract epithelium; liver; pancreas; urinary bladder and epithelial portions of (pharynx, thyroid, trachea, bronchi, lungs, tympainc cavity, pharyngotympanic tube, tonsils and parathyroids). <strong><span style=""text-decoration: underline;"">ENDO</span></strong>derm like <span style=""text-decoration: underline;""><strong>ENDO</strong></span>dermis=<strong><span style=""text-decoration: underline;"">E</span></strong>pithelial=stuff on the inside</p><p>&nbsp;</p><p>The ECTODERM &nbsp;givse rise to the nervous system ( neural tube; CNS, retina, posterior pituitary, pineal gland, neural crest; pigment cells, adrenal medulla, cranial and sensory nerve nuclei, cranial and sensory ganglia) and the epidermis (hair, nails, mammary glands, cutaneous glands, anterior pituitary, teeth enamel, inner ear and eye lens)</p>","Anatomy, Case 7, Embryology"
"1160521","2014-09-27 21:19:15","1300405","3.1900","203","115","E","5","<p>What are the three main principles of teratogenesis?</p>","<p>Dosage, teratogen, maternal genotype</p>","<p>Dosage, length of exposure, maternal genotype</p>","<p>Dosage, time and lengh of exposure, phenotype of the embryo</p>","<p>Dosage, teratogen, phenotype of embryo</p>","<p>Dosage, time and length of exposure, genotype of embryo</p>","<p>Self explanatory, refer to Dave Wilson's lecture in case 7 plenaries 'congenital malformations and teratology'</p>","Case 7, Embryology, teratology"
"1160620","2014-09-27 23:31:45","1300405","3.5600","250","136","E","5","<p>While on placement with a community Midwife you meet an infant whose feet are pointed both downwards and inwards. Recognising the condition as clubfoot from your background reading in Langerman's Medical embryology you decide to further look into the condition. You discover:</p><p>&nbsp;</p><p><img src=""../images/view.php?file=78626"" alt=""no description"" /></p>","<p>Clubfoot is a malformation caused by compression within the amniotic cavity</p>","<p>Clubfoot is caused by a high calcium diet in the first trimester resulting in excess bone growth</p>","<p>Clubfoot is an example of a disruption where the foot exits the amniotic sac early in the 2nd trimester and is constricted</p>","<p>Clubfoot is a syndrome also associated with other symptoms including a tuft of hair behind the Calcaneal tendon and a spotting appearanceon the lateral side of the first toe</p>","<p>Clubfoot is a deformity resulting from compression within the amniotic cavity</p>","<p>Clubfoot is an example of a <strong>deformity</strong>. <strong>Deformities</strong> result form mechanical forces acting on the fetus over a prolonged period which act to mold the anatomy in this case the amniotic cavity compressing the developing feet.</p><p><strong>Malformations</strong> occur during the formation of structures that is organogenesis. theye can be caused by either environmental or genetic factors or a combination acting together. Most malformations have their origins in the 3rd-8th week of gestation.</p><p><strong>Disruptions&nbsp;</strong>result from alterations to already preformed structures due to septructive processes such as amniotic band syndrome and limb amputations.</p><p><strong>Syndromes</strong> are a pattern of malformations which occur in unison and are considered to have a known identified cause such as Down syndrome (trisomy 21). If the symptoms occur together but the cause is unknown they can be classed as an <strong>association</strong> which although does not provide a diagnosis allows sufferers and their families to find other like individuals</p><p>&nbsp;</p><p>For reference either Dave Wilson's lecture 'congenital malformation and teratology' case 7 or Chapter 9 of Langerman's medical embryology</p>","Foot, Lower Limb, Case 7, Embryology"
"1177577","2014-10-07 19:08:47","1300405","2.8500","168","92","E","5","<p>According to the ONS in 2013 the majority of UK families were structured around which of the following formats?</p>","<p>Lone parent family with dependent children</p>","<p>Cohabiting couple family without dependent children</p>","<p>Lone parent family without dependent children</p>","<p>Cohabiting couple family with dependent children</p>","<p>Married or civil partner couple family without dependent children</p>","<p>Dr Sara MacBride-Stewart lecture CASE 8</p><p>&nbsp;</p><p>Married or civil partner couple</p><ul><li>with dependent children - 4.7 million</li><li>without dependent children - 7.7 million</li></ul><p>Cohabiting couple family</p><ul><li>with dependent children - 1.2 million</li><li>without dependent children - 1.8 million</li></ul><p>Lone parent family</p><ul><li>with dependent children - 1.9 million</li><li>without dependent children - 1.0 million</li></ul>","Case 8, Sociology"
"1177580","2014-10-07 19:11:39","1300405","2.7800","174","98","E","5","<p>According to the ONS in 2013 the majority of UK families were structured around which of the following formats?</p>","<p>Lone parent family with dependent children</p>","<p>Cohabiting couple family without dependent children</p>","<p>Lone parent family without dependent children</p>","<p>Cohabiting couple family with dependent children</p>","<p>Married or civil partner couple family without dependent children</p>","<p>Dr Sara MacBride-Stewart lecture CASE 8</p><p>&nbsp;</p><p>Married or civil partner couple</p><ul><li>with dependent children - 4.7 million</li><li>without dependent children - 7.7 million</li></ul><p>Cohabiting couple family</p><ul><li>with dependent children - 1.2 million</li><li>without dependent children - 1.8 million</li></ul><p>Lone parent family</p><ul><li>with dependent children - 1.9 million</li><li>without dependent children - 1.0 million</li></ul>","Case 8, Sociology"
"1188527","2014-10-12 04:34:32","c1301466","3.1800","236","125","D","5","<p>Miss Jones is 6 weeks pregnant when she enters your GP surgery. In order for her foetus to develop it needs the most important source of metabolic energy: glucose. But how does her baby receive this glucose?&nbsp;</p>","<p>Active transport across the GLUT 4 carriers in the cytotrophoblast&nbsp;layer</p>","<p>Active transport across the GLUT 1 carriers in the cytotrophoblast layer</p>","<p>Facillitated diffusion across the GLUT 4 carriers in the synctiotrophoblast layer</p>","<p>Facillitated diffusion across the GLUT 1 carriers in the synctiotrophoblast layer</p>","<p>Diffuses across the synctiotrophoblast layer</p>","<p>Glucose is relatively lipid insoluble because it is a polar molecule. Therefore it cannot rely on passive diffusion across the placenta, which is lipid-rich (so facilitated diffusion required).</p><p>&nbsp;</p><p>&nbsp;</p><p>Page 693 of Pocock, Richard and Richards Human Physiology</p>","Case 7, Case 8, Embryology"
"1193214","2014-10-14 08:15:56","1301408","3.1200","194","110","D","5","<p>From which layer do the heart and blood vessels originate from?&nbsp;</p>","<p>Endoderm</p>","<p>Ectoderm</p>","<p>Syncytiotrophoblast</p>","<p>Mesoderm</p>","<p>Amnioblasts</p>","<p>The answer is&nbsp;<strong>mesoderm</strong>; the&nbsp;<strong>m</strong>esoderm gives rise to the '<strong>m</strong>iddle' of the body, including the heart and blood vessels.&nbsp;</p><p>&nbsp;</p>","Case 7, Heart, Embryology"
"1197283","2014-10-16 05:20:26","c1301466","3.0700","180","96","E","5","<p>Miss Jones' baby is now 3 months old. She has decided to breast feed until the baby reaches 7 months.&nbsp;</p><p>Which is the most important hormone involved in maintaining lactation?</p>","<p>hPL</p>","<p>Oestrogen</p>","<p>Oxytocin</p>","<p>Progesterone</p>","<p>Prolactin</p>","<p>'prolactin appears to be the single most important galactopoietic hormone'</p><p>&nbsp;</p><p>Dr. Helen McCarthy's lecture: Anatomy of the breast, physiology and immunology of lactation</p><p>slide 27</p>","Case 8, Physiology, endocrinology"
"1197585","2014-10-16 09:28:38","1300405","3.2200","230","116","D","5","<p>A 33 year old woman in her 25th week of gestation presents for routine antenatal screening. Investigations reveal a blood pressure of 146/102 and proteinurea. Previous blood pressures have been normal. What condition do you most likely suspect?</p>","<p>Chronic hypertension</p>","<p>Chronic renal disease</p>","<p>Gestational hypertension</p>","<p>Pre-eclampsia</p>","<p>Haemolytic Uraemic syndrome</p>","<p>For all the wrong answers this site gives all the reasons why!!!</p><p>&nbsp;</p><p>http://bestpractice.bmj.com/best-practice/monograph/326/diagnosis/differential.html</p><p>&nbsp;</p><p>Key things to note are the fact she is beyond 20 weeks gestation, there is protein in the urine, the blood pressure is high and there is no history of high blood pressure.</p><p>Pre-eclampsia affects around 5% of all pregnancies to varying degrees. If the blood pressure rises above 140/100 treatment is required or if the protein in the urine exceeds 300 mg/L. The condition is largely asymptomatic though generalized oedema can occur. If vomiting, severe headaches, blurred vision, epigastric pain, irritability or brisk reflexes occur the chance of an eclampsic convulsion is likely.</p>","Gastrointestinal System, Case 7, Case 8"
"1203382","2014-10-18 21:28:05","1300405","3.3600","256","131","C","5","<p>A 25 year old nulliparous woman at 42/40 is given a vaginal PGE<sub>2</sub> tablet in order to induce labour. What action does PGE<sub>2</sub> have?</p>","<p>Stimulates placental oestrogen secretion increasing myocardial contractility.</p>","<p>&nbsp;Relaxes the smooth muscle allowing the cerix to dilate and the baby to descend.</p>","<p>Increases gap junctions and stimulates the release of calcium ions causing muscle contractions, also it stimulates cervical softening and dilation known as ripening.</p>","<p>Acts as an oxytocin agonist increasing its synthesis and therefore myocardial contractility and cervical dilation and sofetening known as ripening.</p>","<p>Promotes&nbsp;relaxation of pelvic ligaments allowing the structures to stretch more easily and ease delivery.</p>","<p>Prostaglandins are locally acting eicosnaoids theat regulate many bodily processes. Prostaglandin PGE2 is synthesized in the uterinje muscle cells in response to oxytocin. It&nbsp;increases gap junctions and stimulates the release of calcium ions causing muscular contractions in a si8milar fashion to oxytocin. PGE2 is also synthesized in the cervix where it stimulates cervical softenin and dilation known as ripening.</p>","Case 7, Case 8, Pharmacology, Biochemistry"
